Name,Method,URL,Description,Authorization,Body
Transactions - Get By ID,GET,{{baseUrl}}/api/land-transactions/:transactionId,Fetch transaction details (buyer/seller/admin/auditor).,Bearer,Path param :transactionId
Transactions - Verify Certificate,GET,{{baseUrl}}/api/land-transactions/verify/:transactionId,Public verification of a completed transaction and certificates.,None,Path param :transactionId
Transactions - Land History,GET,{{baseUrl}}/api/land-transactions/land/:landId/history,Full transaction history for a given land.,None,Path param :landId
Chat - Start Conversation,POST,{{baseUrl}}/api/chats/start,Buyer opens chat with seller for a land listing.,Bearer,"{""landId"": ""ObjectId""}"
Chat - My Chats,GET,{{baseUrl}}/api/chats/my-chats,List chats where caller is buyer or seller.,Bearer,
Chat - Get Chat,GET,{{baseUrl}}/api/chats/:chatId,Fetch chat thread; marks other-party messages as read.,Bearer,Path param :chatId
Chat - Send Message,POST,{{baseUrl}}/api/chats/:chatId/message,Send text/offer/counter/acceptance messages inside a chat.,Bearer,"{""message"": ""Hi"", ""messageType"": ""TEXT"", ""offerAmount"": 0}"
Chat - Make Offer,POST,{{baseUrl}}/api/chats/:chatId/offer,Buyer convenience endpoint to send price offer message.,Bearer,"{""offerAmount"": 0}"
Chat - Counter Offer,POST,{{baseUrl}}/api/chats/:chatId/counter-offer,Seller counter-offer message with amount.,Bearer,"{""counterAmount"": 0}"
Chat - Accept Offer,POST,{{baseUrl}}/api/chats/:chatId/accept,Accept the currently pending offer and mark chat as deal agreed.,Bearer,Path param :chatId
Audit - Logs,GET,{{baseUrl}}/api/audit/logs,Auditor filtered audit log list with pagination.,Auditor Bearer,"Query: startDate, endDate, action, performedBy, targetResource, page, limit"
Audit - Statistics,GET,{{baseUrl}}/api/audit/statistics,"Auditor KPIs for users, lands, and transactions in date range.",Auditor Bearer,"Query: startDate, endDate"
Audit - Export Report,GET,{{baseUrl}}/api/audit/export,Generate PDF audit report for selected date range.,Auditor Bearer,"Query: startDate, endDate"
Audit - Recent Activity,GET,{{baseUrl}}/api/audit/activity,Latest activity feed limited by query parameter.,Auditor Bearer,Query: limit
2FA - Setup,POST,{{baseUrl}}/api/2fa/setup,Protected endpoint to start TOTP setup via controller.,Bearer,
2FA - Verify,POST,{{baseUrl}}/api/2fa/verify,Validate TOTP token and enable 2FA using controller.,Bearer,"{""token"": ""123456""}"
2FA - Disable,POST,{{baseUrl}}/api/2fa/disable,Disable 2FA after verifying token via controller endpoint.,Bearer,"{""token"": ""123456""}"
2FA - Status,GET,{{baseUrl}}/api/2fa/status,Check whether user has 2FA enabled and backup codes available.,Bearer,
Buy Request - Create,POST,{{baseUrl}}/api/buy-requests,Buyer creates a buy request tied to chat and agreed price; seller must have 2FA.,Bearer,"{""chatId"": ""ObjectId"", ""landId"": ""ObjectId"", ""sellerId"": ""ObjectId"", ""buyerId"": ""ObjectId"", ""agreedPrice"": 0}"
Buy Request - Get By Chat,GET,{{baseUrl}}/api/buy-requests/:chatId,Buyer or seller fetches buy request details for a chat.,Bearer,Path param :chatId
Buy Request - Seller Confirm,POST,{{baseUrl}}/api/buy-requests/:chatId/confirm,Seller confirms buy request using TOTP code.,Bearer,"{""twoFactorCode"": ""123456""}"
Buy Request - Resend 2FA,POST,{{baseUrl}}/api/buy-requests/:chatId/resend-2fa,Seller regenerates buy-request-specific 2FA code (dev mode returns code).,Bearer,Path param :chatId
Buy Request - My Requests,GET,{{baseUrl}}/api/buy-requests/user/my-requests,List all buy requests involving the authenticated user.,Bearer,
Buy Request - Cancel,POST,{{baseUrl}}/api/buy-requests/:chatId/cancel,"Buyer or seller cancels a buy request, optionally with reason.",Bearer,"{""reason"": ""string""}"
Admin Tx - Pending Queue,GET,{{baseUrl}}/api/admin/transactions/pending,Admin view of buy requests waiting for approval.,Admin Bearer,
Admin Tx - Transaction Details,GET,{{baseUrl}}/api/admin/transactions/:transactionId,Admin fetches full details for a buy request pending approval.,Admin Bearer,Path param :transactionId
Admin Tx - Approve,POST,{{baseUrl}}/api/admin/transactions/:transactionId/approve,"Admin approves buy request, triggers land transfer + optional blockchain hash.",Admin Bearer,"{""comments"": """", ""blockchainTxHash"": ""0x0000""}"
Admin Tx - Reject,POST,{{baseUrl}}/api/admin/transactions/:transactionId/reject,Admin rejects buy request with mandatory reason.,Admin Bearer,"{""reason"": ""string""}"
Admin Tx - All Transactions,GET,{{baseUrl}}/api/admin/transactions,Paginated view of all buy requests with optional status filter.,Admin Bearer,"Query: status, page, limit"
Admin Tx - Stats Overview,GET,{{baseUrl}}/api/admin/transactions/stats/overview,Aggregate counts and total agreed value grouped by status.,Admin Bearer,
